discipline,total_medals
Athletics,222
Swimming,219
Rowing,144
Football,124
Judo,105
Hockey,102
Handball,94
Fencing,90
"Cycling Track",87
"Water Polo",78
Volleyball,78
"Rugby Sevens",78
Basketball,72
Wrestling,72
"Artistic Gymnastics",67
Shooting,54
Boxing,52
Equestrian,45
Sailing,42
Diving,36
"Canoe Sprint",36
Taekwondo,32
"Table Tennis",30
Weightlifting,30
Archery,30
"Artistic Swimming",27
Tennis,24
"3x3 Basketball",24
Badminton,23
Triathlon,18
"Canoe Slalom",18
"Cycling Road",12
"Sport Climbing",12
"Beach Volleyball",12
Skateboarding,12
Surfing,6
Golf,6
"Marathon Swimming",6
Breaking,6
"Trampoline Gymnastics",6
"Cycling BMX Racing",6
"Cycling Mountain Bike",6
"Cycling BMX Freestyle",6
"Modern Pentathlon",6
