country,Gold,Silver,Bronze
Belgium,2,1,5
Italy,31,27,22
Australia,33,45,43
"Great Britain",40,39,79
"United States",131,101,95
Korea,21,14,23
Tunisia,1,1,1
"Hong Kong, China",2,0,2
France,53,95,39
Hungary,9,8,8
Kazakhstan,1,3,4
Japan,27,31,24
Spain,40,7,34
Mongolia,0,1,0
Sweden,5,7,4
Germany,22,50,36
Canada,14,29,12
Poland,1,16,11
Egypt,1,1,1
Brazil,4,28,35
"Republic of Moldova",0,1,3
Uzbekistan,8,2,3
Kosovo,0,1,1
China,60,57,40
India,0,1,21
Slovakia,0,0,1
"South Africa",1,7,14
Ukraine,6,4,4
Azerbaijan,2,2,3
Croatia,3,14,3
Switzerland,1,2,7
Romania,12,7,2
Ireland,5,0,4
Georgia,3,3,1
Tajikistan,0,0,3
Slovenia,2,1,0
Mexico,0,4,4
Guatemala,1,0,1
Argentina,1,2,16
Greece,1,1,8
Austria,3,0,3
Netherlands,67,23,24
"New Zealand",24,18,7
Ecuador,1,3,2
Israel,1,4,1
Portugal,2,2,1
Uganda,1,1,0
Ethiopia,1,3,0
AIN,1,4,1
Philippines,2,0,2
Norway,18,1,4
Grenada,0,0,2
Jamaica,1,3,2
"Saint Lucia",1,1,0
Dominica,1,0,0
"Chinese Taipei",3,0,5
Lithuania,0,2,5
Armenia,0,3,1
Algeria,2,0,1
"Dominican Republic",1,0,2
"Cabo Verde",0,0,1
Cuba,2,1,6
"DPR Korea",0,4,4
Chile,1,1,0
Serbia,16,1,12
Colombia,0,3,1
Kenya,4,2,5
Denmark,17,5,20
Thailand,1,3,2
Malaysia,0,0,3
Bahrain,2,1,1
"IR Iran",3,6,3
Kyrgyzstan,0,2,4
Türkiye,0,4,7
Morocco,1,0,19
Zambia,0,0,1
Cyprus,0,1,0
Peru,0,0,1
Botswana,1,6,0
Pakistan,1,0,0
Bulgaria,3,0,3
EOR,0,0,1
Indonesia,2,0,0
Jordan,0,1,0
Czechia,4,0,5
Singapore,0,0,1
Qatar,0,0,1
"Puerto Rico",0,0,2
Panama,0,1,0
"Côte d'Ivoire",0,0,1
Albania,0,0,2
Fiji,0,14,0
